category,subcategory,gender_or_audience,status
Кольца,Обручальные,Универсальные,active
Кольца,Помолвочные,Женские,active
Кольца,Классические,Универсальные,active
Кольца,Печатки,Мужские,active
Кольца,Перстни,Универсальные,active
Кольца,Фаланговые,Женские,active
Кольца,Коктейльные,Женские,active
Серьги,Пусеты,Женские,active
Серьги,Конго,Женские,active
Серьги,Подвесные,Женские,active
Серьги,Протяжки,Женские,active
Серьги,Каффы,Универсальные,active
Серьги,Клипсы,Женские,active
Подвески и кулоны,Кресты,Универсальные,active
Подвески и кулоны,Иконки,Универсальные,active
Подвески и кулоны,Буквы,Универсальные,active
Подвески и кулоны,Именные,Универсальные,active
Подвески и кулоны,Сердца,Универсальные,active
Цепи,Якорные,Универсальные,active
Цепи,Панцирные,Универсальные,active
Цепи,Бисмарк,Универсальные,active
Цепи,Нонна,Универсальные,active
Цепи,Ромб,Универсальные,active
Цепи,Фантазийные,Универсальные,active
Браслеты,Цепочные,Универсальные,active
Браслеты,Жёсткие,Универсальные,active
Браслеты,Теннисные,Универсальные,active
Браслеты,С шармами,Универсальные,active
Колье и ожерелья,Классические,Женские,active
Колье и ожерелья,Жемчужные,Женские,active
Колье и ожерелья,Чокеры,Женские,active
Броши,Цветочные,Женские,active
Броши,Животные,Универсальные,active
Броши,Геометрические,Универсальные,active
Мужские аксессуары,Запонки,Мужские,active
Мужские аксессуары,Зажимы для галстука,Мужские,active
Мужские аксессуары,Кресты,Мужские,active
